id,nombre,proveedor_id,categoria
1,Paracetamol,1,Analgésico
2,Ibuprofeno,2,Antiinflamatorio
3,Amoxicilina,3,Antibiótico
4,Loratadina,4,Antihistamínico
5,Omeprazol,5,Antiácido
6,Aspirina,6,Analgésico
7,Cetirizina,7,Antihistamínico
8,Metformina,8,Antidiabético
9,Simvastatina,9,Anticolesterol
10,Losartán,10,Antihipertensivo
11,Amlodipino,11,Antihipertensivo
12,Atorvastatina,12,Anticolesterol
13,Clorfenamina,13,Antihistamínico
14,Diclofenaco,14,Antiinflamatorio
15,Azitromicina,15,Antibiótico
16,Metronidazol,16,Antibiótico
17,Furosemida,17,Diurético
18,Hidroclorotiazida,18,Diurético
19,Captopril,19,Antihipertensivo
20,Enalapril,20,Antihipertensivo
